OBJECTID *,Shape *,Lat,Long,S1,S2,S3,S4
61,Point,43.1259,-71.8703,43,59,71,03
62,Point,43.126,-71.8703,43,60,71,03
63,Point,43.1261,-71.8703,43,61,71,03
64,Point,43.1262,-71.8703,43,62,71,03
65,Point,43.1263,-71.8703,43,63,71,03
66,Point,43.1264,-71.8703,43,64,71,03
67,Point,43.1265,-71.8703,43,65,71,03
68,Point,43.1266,-71.8703,43,66,71,03
69,Point,43.125,-71.8704,43,50,71,04
70,Point,43.1251,-71.8704,43,51,71,04
71,Point,43.1252,-71.8704,43,52,71,04
72,Point,43.1253,-71.8704,43,53,71,04
73,Point,43.1254,-71.8704,43,54,71,04
74,Point,43.1255,-71.8704,43,55,71,04
75,Point,43.1256,-71.8704,43,56,71,04
76,Point,43.1257,-71.8704,43,57,71,04
77,Point,43.1258,-71.8704,43,58,71,04
78,Point,43.1259,-71.8704,43,59,71,04
79,Point,43.126,-71.8704,43,60,71,04
80,Point,43.1261,-71.8704,43,61,71,04
81,Point,43.1262,-71.8704,43,62,71,04
82,Point,43.1263,-71.8704,43,63,71,04
83,Point,43.1264,-71.8704,43,64,71,04
84,Point,43.1265,-71.8704,43,65,71,04
85,Point,43.1266,-71.8704,43,66,71,04
86,Point,43.1215,-71.8705,43,15,71,05
87,Point,43.1216,-71.8705,43,16,71,05
88,Point,43.1217,-71.8705,43,17,71,05
89,Point,43.1218,-71.8705,43,18,71,05
90,Point,43.1219,-71.8705,43,19,71,05
91,Point,43.122,-71.8705,43,20,71,05
92,Point,43.1252,-71.8705,43,52,71,05
93,Point,43.1253,-71.8705,43,53,71,05
94,Point,43.1254,-71.8705,43,54,71,05
95,Point,43.1255,-71.8705,43,55,71,05
96,Point,43.1256,-71.8705,43,56,71,05
97,Point,43.1257,-71.8705,43,57,71,05
98,Point,43.1258,-71.8705,43,58,71,05
99,Point,43.1259,-71.8705,43,59,71,05
100,Point,43.126,-71.8705,43,60,71,05
101,Point,43.1261,-71.8705,43,61,71,05
102,Point,43.1262,-71.8705,43,62,71,05
103,Point,43.1263,-71.8705,43,63,71,05
104,Point,43.1264,-71.8705,43,64,71,05
105,Point,43.1265,-71.8705,43,65,71,05
106,Point,43.1266,-71.8705,43,66,71,05
107,Point,43.1215,-71.8706,43,15,71,06
108,Point,43.1216,-71.8706,43,16,71,06
109,Point,43.1217,-71.8706,43,17,71,06
110,Point,43.1218,-71.8706,43,18,71,06
111,Point,43.1219,-71.8706,43,19,71,06
112,Point,43.122,-71.8706,43,20,71,06
113,Point,43.1252,-71.8706,43,52,71,06
114,Point,43.1253,-71.8706,43,53,71,06
115,Point,43.1254,-71.8706,43,54,71,06
116,Point,43.1255,-71.8706,43,55,71,06
117,Point,43.1256,-71.8706,43,56,71,06
118,Point,43.1257,-71.8706,43,57,71,06
119,Point,43.1258,-71.8706,43,58,71,06
120,Point,43.1259,-71.8706,43,59,71,06
121,Point,43.126,-71.8706,43,60,71,06
122,Point,43.1261,-71.8706,43,61,71,06
123,Point,43.1262,-71.8706,43,62,71,06
124,Point,43.1263,-71.8706,43,63,71,06
125,Point,43.1264,-71.8706,43,64,71,06
126,Point,43.1265,-71.8706,43,65,71,06
127,Point,43.1266,-71.8706,43,66,71,06
128,Point,43.1215,-71.8707,43,15,71,07
129,Point,43.1216,-71.8707,43,16,71,07
130,Point,43.1219,-71.8707,43,19,71,07
131,Point,43.122,-71.8707,43,20,71,07
132,Point,43.1221,-71.8707,43,21,71,07
133,Point,43.1222,-71.8707,43,22,71,07
134,Point,43.1226,-71.8707,43,26,71,07
135,Point,43.1227,-71.8707,43,27,71,07
136,Point,43.1228,-71.8707,43,28,71,07
137,Point,43.1229,-71.8707,43,29,71,07
138,Point,43.123,-71.8707,43,30,71,07
139,Point,43.1231,-71.8707,43,31,71,07
140,Point,43.1232,-71.8707,43,32,71,07
141,Point,43.1233,-71.8707,43,33,71,07
142,Point,43.1238,-71.8707,43,38,71,07
143,Point,43.1239,-71.8707,43,39,71,07
144,Point,43.124,-71.8707,43,40,71,07
145,Point,43.1241,-71.8707,43,41,71,07
146,Point,43.1248,-71.8707,43,48,71,07
147,Point,43.1249,-71.8707,43,49,71,07
148,Point,43.125,-71.8707,43,50,71,07
149,Point,43.1251,-71.8707,43,51,71,07
150,Point,43.1252,-71.8707,43,52,71,07
151,Point,43.1253,-71.8707,43,53,71,07
152,Point,43.1254,-71.8707,43,54,71,07
153,Point,43.1255,-71.8707,43,55,71,07
154,Point,43.1256,-71.8707,43,56,71,07
155,Point,43.1257,-71.8707,43,57,71,07
156,Point,43.1258,-71.8707,43,58,71,07
157,Point,43.1259,-71.8707,43,59,71,07
158,Point,43.126,-71.8707,43,60,71,07
159,Point,43.1261,-71.8707,43,61,71,07
160,Point,43.1262,-71.8707,43,62,71,07
161,Point,43.1263,-71.8707,43,63,71,07
162,Point,43.1264,-71.8707,43,64,71,07
163,Point,43.1265,-71.8707,43,65,71,07
164,Point,43.1266,-71.8707,43,66,71,07
165,Point,43.1215,-71.8708,43,15,71,08
166,Point,43.1216,-71.8708,43,16,71,08
167,Point,43.1219,-71.8708,43,19,71,08
168,Point,43.122,-71.8708,43,20,71,08
169,Point,43.1221,-71.8708,43,21,71,08
170,Point,43.1222,-71.8708,43,22,71,08
171,Point,43.1226,-71.8708,43,26,71,08
172,Point,43.1227,-71.8708,43,27,71,08
173,Point,43.1228,-71.8708,43,28,71,08
174,Point,43.1229,-71.8708,43,29,71,08
175,Point,43.123,-71.8708,43,30,71,08
176,Point,43.1231,-71.8708,43,31,71,08
177,Point,43.1232,-71.8708,43,32,71,08
178,Point,43.1233,-71.8708,43,33,71,08
179,Point,43.1238,-71.8708,43,38,71,08
180,Point,43.1239,-71.8708,43,39,71,08
181,Point,43.124,-71.8708,43,40,71,08
182,Point,43.1241,-71.8708,43,41,71,08
183,Point,43.1248,-71.8708,43,48,71,08
184,Point,43.1249,-71.8708,43,49,71,08
185,Point,43.125,-71.8708,43,50,71,08
186,Point,43.1251,-71.8708,43,51,71,08
187,Point,43.1252,-71.8708,43,52,71,08
188,Point,43.1253,-71.8708,43,53,71,08
189,Point,43.1254,-71.8708,43,54,71,08
190,Point,43.1255,-71.8708,43,55,71,08
191,Point,43.1256,-71.8708,43,56,71,08
192,Point,43.1257,-71.8708,43,57,71,08
193,Point,43.1258,-71.8708,43,58,71,08
194,Point,43.1259,-71.8708,43,59,71,08
195,Point,43.126,-71.8708,43,60,71,08
196,Point,43.1261,-71.8708,43,61,71,08
197,Point,43.1262,-71.8708,43,62,71,08
198,Point,43.1263,-71.8708,43,63,71,08
199,Point,43.1264,-71.8708,43,64,71,08
200,Point,43.1265,-71.8708,43,65,71,08
201,Point,43.1266,-71.8708,43,66,71,08
202,Point,43.1215,-71.8709,43,15,71,09
203,Point,43.1216,-71.8709,43,16,71,09
204,Point,43.1219,-71.8709,43,19,71,09
205,Point,43.122,-71.8709,43,20,71,09
206,Point,43.1221,-71.8709,43,21,71,09
207,Point,43.1222,-71.8709,43,22,71,09
208,Point,43.1226,-71.8709,43,26,71,09
209,Point,43.1227,-71.8709,43,27,71,09
210,Point,43.1228,-71.8709,43,28,71,09
211,Point,43.1229,-71.8709,43,29,71,09
212,Point,43.123,-71.8709,43,30,71,09
213,Point,43.1231,-71.8709,43,31,71,09
214,Point,43.1232,-71.8709,43,32,71,09
215,Point,43.1233,-71.8709,43,33,71,09
216,Point,43.1238,-71.8709,43,38,71,09
217,Point,43.1239,-71.8709,43,39,71,09
218,Point,43.124,-71.8709,43,40,71,09
219,Point,43.1241,-71.8709,43,41,71,09
220,Point,43.1248,-71.8709,43,48,71,09
221,Point,43.1249,-71.8709,43,49,71,09
222,Point,43.125,-71.8709,43,50,71,09
223,Point,43.1251,-71.8709,43,51,71,09
224,Point,43.1252,-71.8709,43,52,71,09
225,Point,43.1253,-71.8709,43,53,71,09
226,Point,43.1254,-71.8709,43,54,71,09
227,Point,43.1255,-71.8709,43,55,71,09
228,Point,43.1256,-71.8709,43,56,71,09
229,Point,43.1257,-71.8709,43,57,71,09
230,Point,43.1258,-71.8709,43,58,71,09
231,Point,43.1259,-71.8709,43,59,71,09
232,Point,43.126,-71.8709,43,60,71,09
233,Point,43.1261,-71.8709,43,61,71,09
234,Point,43.1262,-71.8709,43,62,71,09
235,Point,43.1263,-71.8709,43,63,71,09
236,Point,43.1264,-71.8709,43,64,71,09
237,Point,43.1265,-71.8709,43,65,71,09
238,Point,43.1219,-71.871,43,19,71,10
239,Point,43.122,-71.871,43,20,71,10
240,Point,43.1221,-71.871,43,21,71,10
241,Point,43.1222,-71.871,43,22,71,10
242,Point,43.1223,-71.871,43,23,71,10
243,Point,43.1224,-71.871,43,24,71,10
244,Point,43.1225,-71.871,43,25,71,10
245,Point,43.1226,-71.871,43,26,71,10
246,Point,43.1227,-71.871,43,27,71,10
247,Point,43.1228,-71.871,43,28,71,10
248,Point,43.1229,-71.871,43,29,71,10
249,Point,43.123,-71.871,43,30,71,10
250,Point,43.1231,-71.871,43,31,71,10
251,Point,43.1232,-71.871,43,32,71,10
252,Point,43.1233,-71.871,43,33,71,10
253,Point,43.1234,-71.871,43,34,71,10
254,Point,43.1235,-71.871,43,35,71,10
255,Point,43.1236,-71.871,43,36,71,10
256,Point,43.1237,-71.871,43,37,71,10
257,Point,43.1238,-71.871,43,38,71,10
258,Point,43.1239,-71.871,43,39,71,10
259,Point,43.124,-71.871,43,40,71,10
260,Point,43.1241,-71.871,43,41,71,10
261,Point,43.1242,-71.871,43,42,71,10
262,Point,43.1243,-71.871,43,43,71,10
263,Point,43.1244,-71.871,43,44,71,10
264,Point,43.1245,-71.871,43,45,71,10
265,Point,43.1246,-71.871,43,46,71,10
266,Point,43.1247,-71.871,43,47,71,10
267,Point,43.1248,-71.871,43,48,71,10
268,Point,43.1249,-71.871,43,49,71,10
269,Point,43.125,-71.871,43,50,71,10
270,Point,43.1251,-71.871,43,51,71,10
271,Point,43.1252,-71.871,43,52,71,10
272,Point,43.1253,-71.871,43,53,71,10
273,Point,43.1254,-71.871,43,54,71,10
274,Point,43.1255,-71.871,43,55,71,10
275,Point,43.1256,-71.871,43,56,71,10
276,Point,43.1257,-71.871,43,57,71,10
277,Point,43.1258,-71.871,43,58,71,10
278,Point,43.1259,-71.871,43,59,71,10
279,Point,43.126,-71.871,43,60,71,10
280,Point,43.1261,-71.871,43,61,71,10
281,Point,43.1262,-71.871,43,62,71,10
282,Point,43.1263,-71.871,43,63,71,10
283,Point,43.1264,-71.871,43,64,71,10
284,Point,43.1265,-71.871,43,65,71,10
285,Point,43.1219,-71.8711,43,19,71,11
286,Point,43.122,-71.8711,43,20,71,11
287,Point,43.1221,-71.8711,43,21,71,11
288,Point,43.1222,-71.8711,43,22,71,11
289,Point,43.1223,-71.8711,43,23,71,11
290,Point,43.1224,-71.8711,43,24,71,11
291,Point,43.1225,-71.8711,43,25,71,11
292,Point,43.1226,-71.8711,43,26,71,11
293,Point,43.1227,-71.8711,43,27,71,11
294,Point,43.1228,-71.8711,43,28,71,11
295,Point,43.1229,-71.8711,43,29,71,11
296,Point,43.123,-71.8711,43,30,71,11
297,Point,43.1231,-71.8711,43,31,71,11
298,Point,43.1232,-71.8711,43,32,71,11
299,Point,43.1233,-71.8711,43,33,71,11
300,Point,43.1234,-71.8711,43,34,71,11
301,Point,43.1235,-71.8711,43,35,71,11
302,Point,43.1236,-71.8711,43,36,71,11
303,Point,43.1237,-71.8711,43,37,71,11
304,Point,43.1238,-71.8711,43,38,71,11
305,Point,43.1239,-71.8711,43,39,71,11
306,Point,43.124,-71.8711,43,40,71,11
307,Point,43.1241,-71.8711,43,41,71,11
308,Point,43.1242,-71.8711,43,42,71,11
309,Point,43.1243,-71.8711,43,43,71,11
310,Point,43.1244,-71.8711,43,44,71,11
311,Point,43.1245,-71.8711,43,45,71,11
312,Point,43.1246,-71.8711,43,46,71,11
313,Point,43.1247,-71.8711,43,47,71,11
314,Point,43.1248,-71.8711,43,48,71,11
315,Point,43.1249,-71.8711,43,49,71,11
316,Point,43.125,-71.8711,43,50,71,11
317,Point,43.1251,-71.8711,43,51,71,11
318,Point,43.1252,-71.8711,43,52,71,11
319,Point,43.1253,-71.8711,43,53,71,11
320,Point,43.1254,-71.8711,43,54,71,11
321,Point,43.1255,-71.8711,43,55,71,11
322,Point,43.1256,-71.8711,43,56,71,11
323,Point,43.1257,-71.8711,43,57,71,11
324,Point,43.1258,-71.8711,43,58,71,11
325,Point,43.1259,-71.8711,43,59,71,11
326,Point,43.126,-71.8711,43,60,71,11
327,Point,43.1261,-71.8711,43,61,71,11
328,Point,43.1262,-71.8711,43,62,71,11
329,Point,43.1263,-71.8711,43,63,71,11
330,Point,43.1264,-71.8711,43,64,71,11
331,Point,43.1265,-71.8711,43,65,71,11
332,Point,43.1266,-71.8711,43,66,71,11
333,Point,43.1267,-71.8711,43,67,71,11
334,Point,43.1268,-71.8711,43,68,71,11
335,Point,43.1269,-71.8711,43,69,71,11
336,Point,43.1219,-71.8712,43,19,71,12
337,Point,43.122,-71.8712,43,20,71,12
338,Point,43.1221,-71.8712,43,21,71,12
339,Point,43.1222,-71.8712,43,22,71,12
340,Point,43.1223,-71.8712,43,23,71,12
341,Point,43.1224,-71.8712,43,24,71,12
342,Point,43.1225,-71.8712,43,25,71,12
343,Point,43.1226,-71.8712,43,26,71,12
344,Point,43.1227,-71.8712,43,27,71,12
345,Point,43.1228,-71.8712,43,28,71,12
346,Point,43.1229,-71.8712,43,29,71,12
347,Point,43.123,-71.8712,43,30,71,12
348,Point,43.1231,-71.8712,43,31,71,12
349,Point,43.1232,-71.8712,43,32,71,12
350,Point,43.1233,-71.8712,43,33,71,12
351,Point,43.1234,-71.8712,43,34,71,12
352,Point,43.1235,-71.8712,43,35,71,12
353,Point,43.1236,-71.8712,43,36,71,12
354,Point,43.1237,-71.8712,43,37,71,12
355,Point,43.1238,-71.8712,43,38,71,12
356,Point,43.1239,-71.8712,43,39,71,12
357,Point,43.124,-71.8712,43,40,71,12
358,Point,43.1241,-71.8712,43,41,71,12
359,Point,43.1242,-71.8712,43,42,71,12
360,Point,43.1243,-71.8712,43,43,71,12
361,Point,43.1244,-71.8712,43,44,71,12
362,Point,43.1245,-71.8712,43,45,71,12
363,Point,43.1246,-71.8712,43,46,71,12
364,Point,43.1247,-71.8712,43,47,71,12
365,Point,43.1248,-71.8712,43,48,71,12
366,Point,43.1249,-71.8712,43,49,71,12
367,Point,43.125,-71.8712,43,50,71,12
368,Point,43.1251,-71.8712,43,51,71,12
369,Point,43.1252,-71.8712,43,52,71,12
370,Point,43.1253,-71.8712,43,53,71,12
371,Point,43.1254,-71.8712,43,54,71,12
372,Point,43.1255,-71.8712,43,55,71,12
373,Point,43.1256,-71.8712,43,56,71,12
374,Point,43.1257,-71.8712,43,57,71,12
375,Point,43.1258,-71.8712,43,58,71,12
376,Point,43.1259,-71.8712,43,59,71,12
377,Point,43.126,-71.8712,43,60,71,12
378,Point,43.1261,-71.8712,43,61,71,12
379,Point,43.1262,-71.8712,43,62,71,12
380,Point,43.1263,-71.8712,43,63,71,12
381,Point,43.1264,-71.8712,43,64,71,12
382,Point,43.1265,-71.8712,43,65,71,12
383,Point,43.1266,-71.8712,43,66,71,12
384,Point,43.1267,-71.8712,43,67,71,12
385,Point,43.1268,-71.8712,43,68,71,12
386,Point,43.1269,-71.8712,43,69,71,12
387,Point,43.127,-71.8712,43,70,71,12
388,Point,43.1271,-71.8712,43,71,71,12
389,Point,43.1272,-71.8712,43,72,71,12
390,Point,43.1221,-71.8713,43,21,71,13
391,Point,43.1222,-71.8713,43,22,71,13
392,Point,43.1223,-71.8713,43,23,71,13
393,Point,43.1224,-71.8713,43,24,71,13
394,Point,43.1225,-71.8713,43,25,71,13
395,Point,43.1226,-71.8713,43,26,71,13
396,Point,43.1227,-71.8713,43,27,71,13
397,Point,43.1228,-71.8713,43,28,71,13
398,Point,43.1229,-71.8713,43,29,71,13
399,Point,43.123,-71.8713,43,30,71,13
400,Point,43.1231,-71.8713,43,31,71,13
401,Point,43.1232,-71.8713,43,32,71,13
402,Point,43.1233,-71.8713,43,33,71,13
403,Point,43.1234,-71.8713,43,34,71,13
404,Point,43.1235,-71.8713,43,35,71,13
405,Point,43.1236,-71.8713,43,36,71,13
406,Point,43.1237,-71.8713,43,37,71,13
407,Point,43.1238,-71.8713,43,38,71,13
408,Point,43.1239,-71.8713,43,39,71,13
409,Point,43.124,-71.8713,43,40,71,13
410,Point,43.1241,-71.8713,43,41,71,13
411,Point,43.1242,-71.8713,43,42,71,13
412,Point,43.1243,-71.8713,43,43,71,13
413,Point,43.1244,-71.8713,43,44,71,13
414,Point,43.1245,-71.8713,43,45,71,13
415,Point,43.1246,-71.8713,43,46,71,13
416,Point,43.1247,-71.8713,43,47,71,13
417,Point,43.1248,-71.8713,43,48,71,13
418,Point,43.1249,-71.8713,43,49,71,13
419,Point,43.125,-71.8713,43,50,71,13
420,Point,43.1251,-71.8713,43,51,71,13
421,Point,43.1252,-71.8713,43,52,71,13
422,Point,43.1253,-71.8713,43,53,71,13
423,Point,43.1254,-71.8713,43,54,71,13
424,Point,43.1255,-71.8713,43,55,71,13
425,Point,43.1256,-71.8713,43,56,71,13
426,Point,43.1257,-71.8713,43,57,71,13
427,Point,43.1258,-71.8713,43,58,71,13
428,Point,43.1259,-71.8713,43,59,71,13
429,Point,43.126,-71.8713,43,60,71,13
430,Point,43.1261,-71.8713,43,61,71,13
431,Point,43.1262,-71.8713,43,62,71,13
432,Point,43.1263,-71.8713,43,63,71,13
433,Point,43.1264,-71.8713,43,64,71,13
434,Point,43.1265,-71.8713,43,65,71,13
435,Point,43.1266,-71.8713,43,66,71,13
436,Point,43.1267,-71.8713,43,67,71,13
437,Point,43.1268,-71.8713,43,68,71,13
438,Point,43.1269,-71.8713,43,69,71,13
439,Point,43.127,-71.8713,43,70,71,13
440,Point,43.1271,-71.8713,43,71,71,13
441,Point,43.1272,-71.8713,43,72,71,13
442,Point,43.1273,-71.8713,43,73,71,13
443,Point,43.1274,-71.8713,43,74,71,13
444,Point,43.1275,-71.8713,43,75,71,13
445,Point,43.1221,-71.8714,43,21,71,14
446,Point,43.1222,-71.8714,43,22,71,14
447,Point,43.1223,-71.8714,43,23,71,14
448,Point,43.1224,-71.8714,43,24,71,14
449,Point,43.1225,-71.8714,43,25,71,14
450,Point,43.1226,-71.8714,43,26,71,14
451,Point,43.1227,-71.8714,43,27,71,14
452,Point,43.1228,-71.8714,43,28,71,14
453,Point,43.1229,-71.8714,43,29,71,14
454,Point,43.123,-71.8714,43,30,71,14
455,Point,43.1231,-71.8714,43,31,71,14
456,Point,43.1232,-71.8714,43,32,71,14
457,Point,43.1233,-71.8714,43,33,71,14
458,Point,43.1234,-71.8714,43,34,71,14
459,Point,43.1235,-71.8714,43,35,71,14
460,Point,43.1236,-71.8714,43,36,71,14
461,Point,43.1237,-71.8714,43,37,71,14
462,Point,43.1238,-71.8714,43,38,71,14
463,Point,43.1239,-71.8714,43,39,71,14
464,Point,43.124,-71.8714,43,40,71,14
465,Point,43.1241,-71.8714,43,41,71,14
466,Point,43.1242,-71.8714,43,42,71,14
467,Point,43.1243,-71.8714,43,43,71,14
468,Point,43.1244,-71.8714,43,44,71,14
469,Point,43.1245,-71.8714,43,45,71,14
470,Point,43.1246,-71.8714,43,46,71,14
471,Point,43.1247,-71.8714,43,47,71,14
472,Point,43.1248,-71.8714,43,48,71,14
473,Point,43.1249,-71.8714,43,49,71,14
474,Point,43.125,-71.8714,43,50,71,14
475,Point,43.1251,-71.8714,43,51,71,14
476,Point,43.1252,-71.8714,43,52,71,14
477,Point,43.1253,-71.8714,43,53,71,14
478,Point,43.1254,-71.8714,43,54,71,14
479,Point,43.1255,-71.8714,43,55,71,14
480,Point,43.1256,-71.8714,43,56,71,14
481,Point,43.1257,-71.8714,43,57,71,14
482,Point,43.1258,-71.8714,43,58,71,14
483,Point,43.1259,-71.8714,43,59,71,14
484,Point,43.126,-71.8714,43,60,71,14
485,Point,43.1261,-71.8714,43,61,71,14
486,Point,43.1262,-71.8714,43,62,71,14
487,Point,43.1263,-71.8714,43,63,71,14
488,Point,43.1264,-71.8714,43,64,71,14
489,Point,43.1265,-71.8714,43,65,71,14
490,Point,43.1266,-71.8714,43,66,71,14
491,Point,43.1267,-71.8714,43,67,71,14
492,Point,43.1268,-71.8714,43,68,71,14
493,Point,43.1269,-71.8714,43,69,71,14
494,Point,43.127,-71.8714,43,70,71,14
495,Point,43.1271,-71.8714,43,71,71,14
496,Point,43.1272,-71.8714,43,72,71,14
497,Point,43.1273,-71.8714,43,73,71,14
498,Point,43.1274,-71.8714,43,74,71,14
499,Point,43.1275,-71.8714,43,75,71,14
500,Point,43.1276,-71.8714,43,76,71,14
501,Point,43.1277,-71.8714,43,77,71,14
502,Point,43.1278,-71.8714,43,78,71,14
503,Point,43.1221,-71.8715,43,21,71,15
504,Point,43.1222,-71.8715,43,22,71,15
505,Point,43.1223,-71.8715,43,23,71,15
506,Point,43.1224,-71.8715,43,24,71,15
507,Point,43.1225,-71.8715,43,25,71,15
508,Point,43.1226,-71.8715,43,26,71,15
509,Point,43.1227,-71.8715,43,27,71,15
510,Point,43.1228,-71.8715,43,28,71,15
511,Point,43.1229,-71.8715,43,29,71,15
512,Point,43.123,-71.8715,43,30,71,15
513,Point,43.1231,-71.8715,43,31,71,15
514,Point,43.1232,-71.8715,43,32,71,15
515,Point,43.1233,-71.8715,43,33,71,15
516,Point,43.1234,-71.8715,43,34,71,15
517,Point,43.1235,-71.8715,43,35,71,15
518,Point,43.1236,-71.8715,43,36,71,15
519,Point,43.1237,-71.8715,43,37,71,15
520,Point,43.1238,-71.8715,43,38,71,15
521,Point,43.1239,-71.8715,43,39,71,15
522,Point,43.124,-71.8715,43,40,71,15
523,Point,43.1241,-71.8715,43,41,71,15
524,Point,43.1242,-71.8715,43,42,71,15
525,Point,43.1243,-71.8715,43,43,71,15
526,Point,43.1244,-71.8715,43,44,71,15
527,Point,43.1245,-71.8715,43,45,71,15
528,Point,43.1246,-71.8715,43,46,71,15
529,Point,43.1247,-71.8715,43,47,71,15
530,Point,43.1248,-71.8715,43,48,71,15
531,Point,43.1249,-71.8715,43,49,71,15
532,Point,43.125,-71.8715,43,50,71,15
533,Point,43.1251,-71.8715,43,51,71,15
534,Point,43.1252,-71.8715,43,52,71,15
535,Point,43.1253,-71.8715,43,53,71,15
536,Point,43.1254,-71.8715,43,54,71,15
537,Point,43.1255,-71.8715,43,55,71,15
538,Point,43.1256,-71.8715,43,56,71,15
539,Point,43.1257,-71.8715,43,57,71,15
540,Point,43.1258,-71.8715,43,58,71,15
541,Point,43.1259,-71.8715,43,59,71,15
542,Point,43.126,-71.8715,43,60,71,15
543,Point,43.1261,-71.8715,43,61,71,15
544,Point,43.1262,-71.8715,43,62,71,15
545,Point,43.1263,-71.8715,43,63,71,15
546,Point,43.1264,-71.8715,43,64,71,15
547,Point,43.1265,-71.8715,43,65,71,15
548,Point,43.1266,-71.8715,43,66,71,15
549,Point,43.1267,-71.8715,43,67,71,15
550,Point,43.1268,-71.8715,43,68,71,15
551,Point,43.1269,-71.8715,43,69,71,15
552,Point,43.127,-71.8715,43,70,71,15
553,Point,43.1271,-71.8715,43,71,71,15
554,Point,43.1272,-71.8715,43,72,71,15
555,Point,43.1273,-71.8715,43,73,71,15
556,Point,43.1274,-71.8715,43,74,71,15
557,Point,43.1275,-71.8715,43,75,71,15
558,Point,43.1276,-71.8715,43,76,71,15
559,Point,43.1277,-71.8715,43,77,71,15
560,Point,43.1278,-71.8715,43,78,71,15
561,Point,43.1279,-71.8715,43,79,71,15
562,Point,43.128,-71.8715,43,80,71,15
563,Point,43.1219,-71.8716,43,19,71,16
564,Point,43.122,-71.8716,43,20,71,16
565,Point,43.1221,-71.8716,43,21,71,16
566,Point,43.1222,-71.8716,43,22,71,16
567,Point,43.1223,-71.8716,43,23,71,16
568,Point,43.1224,-71.8716,43,24,71,16
569,Point,43.1225,-71.8716,43,25,71,16
570,Point,43.1226,-71.8716,43,26,71,16
571,Point,43.1227,-71.8716,43,27,71,16
572,Point,43.1228,-71.8716,43,28,71,16
573,Point,43.1229,-71.8716,43,29,71,16
574,Point,43.123,-71.8716,43,30,71,16
575,Point,43.1231,-71.8716,43,31,71,16
576,Point,43.1232,-71.8716,43,32,71,16
577,Point,43.1233,-71.8716,43,33,71,16
578,Point,43.1234,-71.8716,43,34,71,16
579,Point,43.1235,-71.8716,43,35,71,16
580,Point,43.1236,-71.8716,43,36,71,16
581,Point,43.1237,-71.8716,43,37,71,16
582,Point,43.1238,-71.8716,43,38,71,16
583,Point,43.1239,-71.8716,43,39,71,16
584,Point,43.124,-71.8716,43,40,71,16
585,Point,43.1241,-71.8716,43,41,71,16
586,Point,43.1242,-71.8716,43,42,71,16
